§Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]
7.2	0.9092	7.2	0.9135	7.2	0.9105	7.2	0.9044
7.6	0.9068	7.6	0.9113	7.6	0.9077	7.6	0.902
8	0.9039	8	0.9085	8	0.9056	8	0.8997
8.4	0.9014	8.4	0.906	8.4	0.903	8.4	0.8963
8.8	0.8994	8.8	0.9033	8.8	0.9005	8.8	0.8939
9.2	0.897	9.2	0.9012	9.2	0.8979	9.2	0.8911
9.6	0.8939	9.6	0.8992	9.6	0.8953	9.6	0.8893
10	0.891	10	0.8972	10	0.8926	10	0.8869
10.4	0.8886	10.4	0.8944	10.4	0.8906	10.4	0.8844
10.8	0.8869	10.8	0.892	10.8	0.8888	10.8	0.8822
11.2	0.8844	11.2	0.8887	11.2	0.8869	11.2	0.8798
11.6	0.8825	11.6	0.8871	11.6	0.8843	11.6	0.8775
12	0.8796	12	0.8849	12	0.8816	12	0.8751
12.4	0.8771	12.4	0.8835	12.4	0.8792	12.4	0.8729
12.8	0.8748	12.8	0.8809	12.8	0.8766	12.8	0.8706
13.6	0.8703	13.6	0.8753	13.6	0.8719	13.6	0.8655
14.4	0.8656	14.4	0.8702	14.4	0.8674	14.4	0.8608
15.2	0.8607	15.2	0.8654	15.2	0.863	15.2	0.8566
16	0.8559	16	0.8607	16	0.8583	16	0.8524
16.8	0.8512	16.8	0.8561	16.8	0.854	16.8	0.8476
17.6	0.8463	17.6	0.8522	17.6	0.8492	17.6	0.8432
18.4	0.8421	18.4	0.8477	18.4	0.8449	18.4	0.8381
19.2	0.8378	19.2	0.8434	19.2	0.8402	19.2	0.8339
20	0.8334	20	0.8388	20	0.8359	20	0.8295
20.8	0.8292	20.8	0.8343	20.8	0.8318	20.8	0.8255
21.6	0.8249	21.6	0.8296	21.6	0.8274	21.6	0.8212
22.4	0.8205	22.4	0.8252	22.4	0.8232	22.4	0.8168
23.2	0.8162	23.2	0.8208	23.2	0.8189	23.2	0.8125
24	0.8118	24	0.8161	24	0.8143	24	0.8082
24.8	0.8073	24.8	0.8115	24.8	0.8099	24.8	0.8043
25.6	0.8027	25.6	0.8071	25.6	0.8052	25.6	0.8
27.2	0.7944	27.2	0.7989	27.2	0.7968	27.2	0.7916
28.8	0.7861	28.8	0.7906	28.8	0.7881	28.8	0.7832
30.4	0.7777	30.4	0.7825	30.4	0.7797	30.4	0.7753
32	0.7689	32	0.7739	32	0.7714	32	0.7671
33.6	0.7606	33.6	0.7656	33.6	0.7633	33.6	0.7589
35.2	0.7526	35.2	0.7572	35.2	0.7554	35.2	0.7508
36.8	0.7447	36.8	0.749	36.8	0.7473	36.8	0.743
38.4	0.7368	38.4	0.7412	38.4	0.7396	38.4	0.7355
40	0.7287	40	0.7333	40	0.7319	40	0.7278
41.6	0.7209	41.6	0.7254	41.6	0.7241	41.6	0.7204
43.2	0.7132	43.2	0.7177	43.2	0.7165	43.2	0.7126
44.8	0.7057	44.8	0.7104	44.8	0.7088	44.8	0.705
46.4	0.6983	46.4	0.7032	46.4	0.7016	46.4	0.6977
48	0.6909	48	0.6956	48	0.6942	48	0.6906
49.6	0.6838	49.6	0.688	49.6	0.687	49.6	0.6835
51.2	0.6764	51.2	0.6807	51.2	0.6797	51.2	0.6763
54.4	0.6623	54.4	0.6664	54.4	0.6651	54.4	0.6622
57.6	0.6484	57.6	0.6524	57.6	0.651	57.6	0.6485
60.8	0.6349	60.8	0.6387	60.8	0.6374	60.8	0.6351
64	0.6216	64	0.6254	64	0.6245	64	0.6221
67.2	0.6088	67.2	0.6123	67.2	0.6117	67.2	0.6092
70.4	0.596	70.4	0.5996	70.4	0.599	70.4	0.5966
73.6	0.5836	73.6	0.587	73.6	0.5865	73.6	0.5841
76.8	0.5715	76.8	0.5748	76.8	0.5742	76.8	0.5719
80	0.5594	80	0.5628	80	0.5624	80	0.5602
83.2	0.5479	83.2	0.5512	83.2	0.5506	83.2	0.549
86.4	0.5363	86.4	0.5399	86.4	0.5394	86.4	0.5379
89.6	0.5253	89.6	0.5289	89.6	0.5284	89.6	0.527
92.8	0.5141	92.8	0.518	92.8	0.5177	92.8	0.5162
96	0.5036	96	0.5074	96	0.5071	96	0.5058
99.2	0.493	99.2	0.4969	99.2	0.4966	99.2	0.4955
102.4	0.4832	102.4	0.4868	102.4	0.4865	102.4	0.4854
108.8	0.4637	108.8	0.467	108.8	0.4667	108.8	0.466
115.2	0.4451	115.2	0.4481	115.2	0.4479	115.2	0.4475
121.6	0.4271	121.6	0.4299	121.6	0.4301	121.6	0.4296
128	0.4098	128	0.4125	128	0.413	128	0.4127
134.4	0.3932	134.4	0.3959	134.4	0.3965	134.4	0.3962
